source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,UAIUziHp,lichess-event,online,2026-02-26,blitz,true,Forester_19,CalisthenicsBoy,white,2734,3022,loss,40.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,UAIUziHp,lichess-event,online,2026-02-26,blitz,true,CalisthenicsBoy,Forester_19,black,3022,2734,win,30.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,VbEkXKJg,lichess-event,online,2026-02-26,blitz,true,CalisthenicsBoy,Chalenger2030,white,3020,2762,win,15.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,VbEkXKJg,lichess-event,online,2026-02-26,blitz,true,Chalenger2030,CalisthenicsBoy,black,2762,3020,loss,26.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,8EIbqLQ4,lichess-event,online,2026-02-26,blitz,true,CalisthenicsBoy,Kos1189,white,3019,2717,win,7.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,8EIbqLQ4,lichess-event,online,2026-02-26,blitz,true,Kos1189,CalisthenicsBoy,black,2717,3019,loss,20.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ZNrc7Lwk,lichess-event,online,2026-02-26,blitz,true,Kos1189,CalisthenicsBoy,white,2719,3017,loss,45.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ZNrc7Lwk,lichess-event,online,2026-02-26,blitz,true,CalisthenicsBoy,Kos1189,black,3017,2719,win,22.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,UFng5jPy,lichess-event,online,2026-02-26,blitz,true,CalisthenicsBoy,Chalenger2030,white,3015,2764,win,8.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,UFng5jPy,lichess-event,online,2026-02-26,blitz,true,Chalenger2030,CalisthenicsBoy,black,2764,3015,loss,46.0,unknown,false,clean,2026-03-02T16:21:47+00:00
